2023-01-22T04:46:47.035Z,mb,"10 km W of Loutrá Aidhipsoú, Greece",earthquake
2023-01-22T03:27:42.289Z,mb,"53 km NW of Nikolski, Alaska",earthquake
2023-01-22T02:48:37.071Z,mb,"129 km ENE of ‘Ohonua, Tonga",earthquake
2023-01-22T02:29:04.418Z,mb,"162 km NW of Tobelo, Indonesia",earthquake
2023-01-22T01:30:06.850Z,md,"81 km N of Cruz Bay, U.S. Virgin Islands",earthquake
2023-01-22T01:04:49.350Z,ml,"5 km E of Hennessey, Oklahoma",earthquake
2023-01-22T01:03:02.032Z,ml,"292 km W of Ferndale, California",earthquake
2023-01-22T00:35:18.290Z,ml,"90 km NW of Elfin Cove, Alaska",earthquake
2023-01-22T00:28:00.463Z,mb,"northern Sumatra, Indonesia",earthquake
2023-01-21T23:58:55.220Z,md,"18km W of Cape Vizcaino, CA",earthquake
2023-01-21T23:52:23.980Z,md,"12 km SSE of La Parguera, Puerto Rico",earthquake
2023-01-21T23:21:45.069Z,mb,"Mindanao, Philippines",earthquake
2023-01-21T22:35:30.944Z,mww,Reykjanes Ridge,earthquake
2023-01-21T21:56:59.449Z,mb,southern Mid-Atlantic Ridge,earthquake
2023-01-21T21:50:17.099Z,mb,"38 km ENE of Orcopampa, Peru",earthquake
2023-01-21T21:36:26.305Z,ml,"Kenai Peninsula, Alaska",earthquake
2023-01-21T20:16:53.128Z,ml,"36 km WSW of Mentone, Texas",earthquake
2023-01-21T20:06:52.313Z,mww,"160 km NW of Tobelo, Indonesia",earthquake
2023-01-21T19:49:28.652Z,mww,Reykjanes Ridge,earthquake
2023-01-21T19:25:19.793Z,mb,"112 km SSW of Banda Aceh, Indonesia",earthquake
2023-01-21T19:22:20.669Z,mb,Reykjanes Ridge,earthquake
2023-01-21T19:20:27.360Z,mww,Reykjanes Ridge,earthquake
2023-01-21T19:00:03.269Z,mb,"offshore Oaxaca, Mexico",earthquake
2023-01-21T18:45:18.652Z,ml,"45 km NNW of Petersville, Alaska",earthquake
2023-01-21T18:29:39.197Z,mb,northwest of Australia,earthquake
2023-01-21T17:59:48.536Z,mb,south of Panama,earthquake
2023-01-21T17:18:45.120Z,md,"123 km N of Suárez, Puerto Rico",earthquake
2023-01-21T16:37:52.920Z,md,"73 km SW of Pole Ojea, Puerto Rico",earthquake
2023-01-21T16:06:01.272Z,mb,Kermadec Islands region,earthquake
2023-01-21T15:55:53.895Z,mb,"85 km E of Sungai Penuh, Indonesia",earthquake
2023-01-21T15:37:42.478Z,mb,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2023-01-21T15:18:38.657Z,ml,"159 km ESE of Akutan, Alaska",earthquake
2023-01-21T15:02:27.237Z,mb,"199 km NW of Tobelo, Indonesia",earthquake
2023-01-21T15:02:15.840Z,ml,"20 km ESE of Naalehu, Hawaii",earthquake
2023-01-21T14:59:14.245Z,mb,"11 km E of Mangili, Philippines",earthquake
2023-01-21T14:40:43.775Z,ml,"87 km NNW of Karluk, Alaska",earthquake
2023-01-21T14:37:52.364Z,ml,Chile-Bolivia border region,earthquake
2023-01-21T14:33:44.740Z,ml,western Texas,earthquake
2023-01-21T13:50:48.821Z,mb,"251 km E of Levuka, Fiji",earthquake
2023-01-21T13:41:28.464Z,ml,"33 km NW of Ninilchik, Alaska",earthquake
2023-01-21T13:31:58.104Z,mb,"14 km E of Tallkalakh, Syria",earthquake
2023-01-21T13:29:08.389Z,mb,"129 km N of Tual, Indonesia",earthquake
2023-01-21T13:26:03.339Z,mb,"Pagan region, Northern Mariana Islands",earthquake
2023-01-21T12:47:19.789Z,ml,"60 km WNW of Nikiski, Alaska",earthquake
2023-01-21T12:47:14.954Z,ml,"134 km SE of McCarthy, Alaska",earthquake
2023-01-21T12:27:36.555Z,ml,"52 km SSW of Whites City, New Mexico",earthquake
2023-01-21T11:57:20.660Z,mb,"19 km N of Cortes, Philippines",earthquake
2023-01-21T11:39:38.176Z,ml,"72 km W of Petersville, Alaska",earthquake
2023-01-21T11:14:30.644Z,mb,"56 km ESE of Namie, Japan",earthquake
2023-01-21T11:01:26.952Z,ml,Southern Alaska,earthquake
2023-01-21T10:48:57.900Z,md,"4 km SE of La Parguera, Puerto Rico",earthquake
2023-01-21T10:21:56.530Z,md,"103 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T10:00:08.270Z,ml,"41 km WSW of Cantwell, Alaska",earthquake
2023-01-21T09:24:41.305Z,mb,Molucca Sea,earthquake
2023-01-21T08:32:23.457Z,ml,Southern Alaska,earthquake
2023-01-21T08:19:14.230Z,md,"1 km ENE of Indios, Puerto Rico",earthquake
2023-01-21T08:10:11.520Z,md,"108 km N of Cruz Bay, U.S. Virgin Islands",earthquake
2023-01-21T07:57:06.745Z,mb,central Mid-Atlantic Ridge,earthquake
2023-01-21T07:47:55.480Z,ml,"54 km E of Pedro Bay, Alaska",earthquake
2023-01-21T07:39:14.275Z,ml,"13 km NE of Aleneva, Alaska",earthquake
2023-01-21T07:23:17.650Z,md,"76 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T07:09:59.430Z,md,Virgin Islands,earthquake
2023-01-21T06:51:31.105Z,mb,"154 km NNE of Calama, Chile",earthquake
2023-01-21T06:17:06.468Z,mb,"162 km NW of Tobelo, Indonesia",earthquake
2023-01-21T06:08:49.151Z,ml,"56 km S of Whites City, New Mexico",earthquake
2023-01-21T05:53:32.940Z,md,"101 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T05:47:21.244Z,mb,South Sandwich Islands region,earthquake
2023-01-21T05:35:27.460Z,md,Virgin Islands,earthquake
2023-01-21T05:28:14.710Z,md,"109 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T05:19:47.730Z,md,"104 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T05:16:00.285Z,ml,"Unimak Island region, Alaska",earthquake
2023-01-21T05:13:16.530Z,md,"106 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T05:10:08.630Z,md,"103 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T05:01:35.880Z,md,"109 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T04:51:03.300Z,md,"113 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T04:32:50.070Z,ml,"Island of Hawaii, Hawaii",earthquake
2023-01-21T04:28:46.530Z,md,"106 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T04:07:07.830Z,mb,"173 km S of False Pass, Alaska",earthquake
2023-01-21T04:05:37.070Z,md,"111 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-21T04:05:28.745Z,mwr,"51 km SSW of Las Yaras, Peru",earthquake
2023-01-21T03:58:09.663Z,mb,"155 km NW of Tobelo, Indonesia",earthquake
2023-01-21T03:55:15.690Z,md,"124 km N of Suárez, Puerto Rico",earthquake
